model,T,tau,ece_before,ece_after,ece_reduction_pct,test_fpr,test_f1,test_precision,test_recall
cnn_lstm,1.4180,0.4598,0.0884,0.0291,67.1063,0.0095,0.9712,0.9954,0.9480
gru,0.2512,0.3744,0.4810,0.4548,5.4608,0.0551,0.9347,0.9720,0.9001
lstm,0.3777,0.2669,0.4852,0.4547,6.2789,0.0538,0.9317,0.9725,0.8942
mlp,0.4294,0.7180,0.4737,0.4487,5.2925,0.0574,0.9144,0.9698,0.8650
bilstm,0.3954,0.7757,0.4817,0.4536,5.8273,0.0433,0.8848,0.9755,0.8095
cnn1d,0.2582,0.6454,0.5318,0.4631,12.9159,0.0439,0.8791,0.9749,0.8004
transformer,0.3982,0.9677,0.4012,0.4233,-5.5265,0.0566,0.8744,0.9678,0.7975
tcn,0.3133,0.9498,0.4820,0.4307,10.6339,0.0354,0.8519,0.9784,0.7543
